AR-DRG V10.0,description,bool_same_day_payment_list,bool_bundled_icu,alos,inlier_lb,inlier_ub,adj_private_patient_service,adj_paediatric,pwt_sameday,pwt_shortstay_outlierbase,pwt_shortstay_outlier_perdiem,pwt_inlier,pwt_longstay_outlier_perdiem
F11B,"Amputation, Except Upper Limb and Toe, for Circulatory Disorders, Minor Comp", , ,18.5,6,55,0.28,1.0,,1.0136,1.0693,7.4293,0.2801
F12A,"Implantation and Replacement of Pacemaker, Total System, Major Complexity", , ,7.1,2,21,0.39,1.0,,1.2915,1.2839,3.8593,0.2792
F12B,"Implantation and Replacement of Pacemaker, Total System, Minor Complexity",YES, ,2.6,1,8,0.57,1.0,1.3004,,,2.1371,0.2495
F13A,"Amputation, Upper Limb and Toe, for Circulatory Disorders, Major Complexity", , ,16.9,5,51,0.12,1.0,,0.5913,1.2345,6.7636,0.3154
F13B,"Amputation, Upper Limb and Toe, for Circulatory Disorders, Minor Complexity", , ,7.9,2,24,0.14,1.0,,0.4959,1.2699,3.0357,0.2482
F14A,"Vascular Interventions, Except Major Reconstruction, W/O CPB Pump, Major Comp", , ,12.0,4,36,0.17,1.49,,1.2757,1.1839,6.0111,0.2811
F14B,"Vascular Interventions, Except Major Reconstruction, W/O CPB Pump, Interm Comp", , ,4.0,1,12,0.26,1.22,,,,2.5983,0.2725
F14C,"Vascular Interventions, Except Major Reconstruction, W/O CPB Pump, Minor Comp", , ,1.6,1,5,0.32,1.28,,,,1.4465,0.3402
F17A,"Insertion and Replacement of Pacemaker Generator, Major Complexity", , ,3.7,1,11,0.71,1.0,,,,2.3173,0.2865
F17B,"Insertion and Replacement of Pacemaker Generator, Minor Complexity", , ,1.1,1,3,0.74,1.0,,,,1.229,0.1542
F18Z,Other Pacemaker Interventions, , ,4.4,1,13,0.22,1.0,,,,2.1908,0.2894
F19A,"Trans-Vascular Percutaneous Cardiac Intervention, Major Complexity", , ,8.3,2,25,0.31,1.0,,2.0943,1.6823,5.4589,0.2445
F19B,"Trans-Vascular Percutaneous Cardiac Intervention, Minor Complexity", , ,1.9,1,6,0.38,1.36,,,,2.1879,0.1541
F20Z,Vein Ligation and Stripping, , ,1.2,1,4,0.17,1.34,,,,0.9321,0.2991
F21A,"Other Circulatory System GIs, Major Complexity", , ,20.3,6,61,0.08,1.0,,0.608,1.0404,6.8505,0.2654
F21B,"Other Circulatory System GIs, Intermediate Complexity", , ,9.7,3,29,0.09,1.0,,0.5023,0.9363,3.3112,0.2082
F21C,"Other Circulatory System GIs, Minor Complexity",YES, ,3.6,1,11,0.16,1.16,0.6869,,,1.7184,0.2093
F22Z,Insertion of Artificial Heart Device, , ,42.5,14,132,0.28,1.0,,25.7865,2.5776,61.8732,0.4802
F23Z,Heart Transplant, , ,21.9,13,121,0.28,1.0,,4.885,1.7567,27.7219,0.6355
F24A,"Interventional Coronary Procs, Not Adm for AMI, Major Comp", , ,5.6,1,17,0.25,1.0,,,,3.1129,0.2831
F24B,"Interventional Coronary Procs, Not Adm for AMI, Minor Comp", , ,1.6,1,5,0.42,1.69,,,,1.5258,0.3147
F40A,"Circulatory Disorders W Ventilator Support, Major Complexity", , ,9.3,3,28,0.1,1.0,,0.1158,1.8966,5.8057,0.3068
F40B,"Circulatory Disorders W Ventilator Support, Minor Complexity", , ,2.4,1,7,0.11,1.0,,,,1.7985,0.2403
F41A,"Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Int, Major Comp", , ,7.0,2,21,0.15,1.0,,0.3547,1.2597,2.8741,0.291
F41B,"Circulatory Disorders, Adm for AMI W Invasive Cardiac Inves Int, Minor Comp",YES, ,3.7,1,11,0.19,1.0,0.5581,,,1.6003,0.2644
F42A,"Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Int, Major Comp", , ,6.0,1,18,0.16,1.15,,,,2.2429,0.2674
F42B,"Circulatory Dsrds, Not Adm for AMI W Invasive Cardiac Inves Int, Minor Comp",YES, ,2.7,1,8,0.25,2.0,0.5591,,,1.2412,0.2412
F43A,"Circulatory Disorders W Non-Invasive Ventilation, Major Complexity", , ,13.0,4,39,0.1,1.0,,0.1053,1.2309,5.0287,0.2648
F43B,"Circulatory Disorders W Non-Invasive Ventilation, Minor Complexity", , ,7.5,2,22,0.11,1.0,,0.0317,1.2655,2.5628,0.2585
F60A,"Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Intervention", , ,4.6,1,14,0.11,1.0,,,,1.3222,0.2578
F60B,"Circulatory Dsrd, Adm for AMI W/O Invas Card Inves Intervention, Transf < 5 Days", , ,1.5,1,4,0.21,1.0,,,,0.5825,0.2621
F61A,"Infective Endocarditis, Major Complexity", , ,19.9,6,60,0.09,1.0,,0.0,0.998,5.9881,0.2103
F61B,"Infective Endocarditis, Minor Complexity", , ,8.8,2,27,0.11,1.0,,0.0,1.0334,2.0667,0.1134
F62A,"Heart Failure and Shock, Major Complexity", , ,8.5,2,25,0.1,1.0,,0.0,1.1407,2.2815,0.2429
F62B,"Heart Failure and Shock, Minor Complexity", , ,3.8,1,11,0.1,1.0,,,,0.9236,0.2269
F62C,"Heart Failure and Shock, Transferred < 5 Days", , ,1.5,1,4,0.14,1.0,,,,0.4268,0.2485
F63A,"Venous Thrombosis, Major Complexity",YES, ,4.9,1,15,0.14,1.0,0.1587,,,1.2081,0.2207
F63B,"Venous Thrombosis, Minor Complexity",YES, ,2.8,1,8,0.19,1.0,0.1161,,,0.524,0.1266
F64A,"Skin Ulcers in Circulatory Disorders, Major Complexity", , ,9.5,3,28,0.08,1.0,,0.0,0.846,2.538,0.227
F64B,"Skin Ulcers in Circulatory Disorders, Intermediate Complexity",YES, ,5.9,1,18,0.08,1.0,0.2136,,,1.3297,0.1955
F64C,"Skin Ulcers in Circulatory Disorders, Minor Complexity",YES, ,4.2,1,13,0.09,1.0,0.1658,,,1.0294,0.1827
F65A,"Peripheral Vascular Disorders, Major Complexity",YES, ,6.6,2,20,0.11,1.49,0.3198,0.0956,0.9398,1.9753,0.2366
F65B,"Peripheral Vascular Disorders, Minor Complexity",YES, ,3.0,1,9,0.16,1.41,0.2729,,,0.8514,0.2045
F66A,"Coronary Atherosclerosis, Major Complexity", , ,4.1,1,12,0.14,1.0,,,,1.1044,0.25
F66B,"Coronary Atherosclerosis, Minor Complexity", , ,1.4,1,4,0.16,1.0,,,,0.3121,0.2352
F67A,"Hypertension, Major Complexity",YES, ,4.3,1,13,0.1,1.45,0.1505,,,1.1618,0.2512
F67B,"Hypertension, Minor Complexity", , ,1.4,1,4,0.15,1.5,,,,0.2603,0.185
F68Z,Congenital Heart Disease, , ,1.7,1,5,0.11,1.97,,,,0.4983,0.2253
F69A,"Valvular Disorders, Major Complexity",YES, ,5.4,1,16,0.16,1.72,0.2787,,,1.3792,0.2531
F69B,"Valvular Disorders, Minor Complexity", , ,1.1,1,3,0.23,2.0,,,,0.1993,0.1495
F72A,"Unstable Angina, Major Complexity",YES, ,3.7,1,11,0.15,1.0,0.174,,,1.0497,0.2553
F72B,"Unstable Angina, Minor Complexity", , ,1.6,1,5,0.15,1.0,,,,0.3957,0.2725
F73A,"Syncope and Collapse, Major Complexity", , ,4.3,1,13,0.11,0.85,,,,1.0648,0.2349
F73B,"Syncope and Collapse, Minor Complexity", , ,1.5,1,4,0.18,1.2,,,,0.3063,0.2263
F74A,"Chest Pain, Major Complexity", , ,1.9,1,6,0.18,2.0,,,,0.4398,0.2579
F74B,"Chest Pain, Minor Complexity", , ,1.1,1,3,0.22,1.48,,,,0.1519,0.1103
F75A,"Other Circulatory Disorders, Major Complexity", , ,6.4,2,19,0.11,1.75,,0.0,1.0433,2.0866,0.2491
F75B,"Other Circulatory Disorders, Minor Complexity",YES, ,2.6,1,8,0.16,1.97,0.2196,,,0.7067,0.2249
F76A,"Arrhythmia, Cardiac Arrest and Conduction Disorders, Major Complexity",YES, ,3.9,1,12,0.13,2.0,0.1989,,,1.1094,0.2477
F76B,"Arrhythmia, Cardiac Arrest and Conduction Disorders, Minor Complexity", , ,1.4,1,4,0.18,2.0,,,,0.3178,0.2387
G01A,"Rectal Resection, Major Complexity", , ,22.1,7,66,0.13,1.0,,2.7054,1.1547,10.7883,0.32
G01B,"Rectal Resection, Intermediate Complexity", , ,12.0,4,36,0.15,1.0,,2.1753,1.093,6.5472,0.2921
G01C,"Rectal Resection, Minor Complexity", , ,7.4,2,22,0.18,1.0,,2.0495,1.2997,4.6488,0.2724
G02A,"Major Small and Large Bowel Interventions, Major Complexity", , ,21.7,7,65,0.12,1.49,,1.8467,1.1424,9.8437,0.3192
G02B,"Major Small and Large Bowel Interventions, Intermediate Complexity", , ,9.9,3,30,0.13,1.11,,1.4818,1.1742,5.0045,0.2883
G02C,"Major Small and Large Bowel Interventions, Minor Complexity", , ,5.4,1,16,0.16,1.06,,,,3.062,0.3186
G03A,"Stomach, Oesophageal and Duodenal Interventions, Major Complexity", , ,17.1,5,51,0.12,1.0,,2.2503,1.4271,9.386,0.3141
G03B,"Stomach, Oesophageal and Duodenal Interventions, Intermediate Complexity", , ,7.4,2,22,0.13,1.0,,1.1278,1.6557,4.4392,0.3343
G03C,"Stomach, Oesophageal and Duodenal Interventions, Minor Complexity", , ,3.1,1,9,0.16,1.25,,,,2.1289,0.3241
G04A,"Peritoneal Adhesiolysis, Major Complexity", , ,13.9,4,42,0.11,1.44,,1.3486,1.1462,5.9333,0.2947
G04B,"Peritoneal Adhesiolysis, Intermediate Complexity", , ,6.5,2,20,0.12,1.38,,0.7851,1.1486,3.0822,0.3067
G04C,"Peritoneal Adhesiolysis, Minor Complexity", , ,2.8,1,8,0.15,1.26,,,,1.7302,0.3471
G05A,"Minor Small and Large Bowel Interventions, Major Complexity", , ,10.0,3,30,0.11,1.05,,0.828,1.0374,3.9401,0.2688
G05B,"Minor Small and Large Bowel Interventions, Minor Complexity", , ,3.8,1,11,0.13,0.8,,,,1.9821,0.3314
G06Z,Pyloromyotomy, , ,3.2,1,11,0.15,1.0,,,,1.8462,0.3435
G07A,"Appendicectomy, Major Complexity", , ,4.7,1,14,0.1,1.37,,,,2.2223,0.3304
G07B,"Appendicectomy, Minor Complexity", , ,2.1,1,6,0.13,1.22,,,,1.2502,0.2866
G10A,"Hernia Interventions, Major Complexity", , ,3.8,1,12,0.14,0.81,,,,2.092,0.3
G10B,"Hernia Interventions, Minor Complexity", , ,1.3,1,4,0.2,0.8,,,,1.0905,0.3223
G11A,"Anal and Stomal Interventions, Major Complexity", , ,4.4,1,13,0.13,1.7,,,,1.5102,0.2478
G11B,"Anal and Stomal Interventions, Minor Complexity", , ,1.5,1,4,0.14,1.13,,,,0.6615,0.2329
G12A,"Other Digestive System GIs, Major Complexity", , ,18.3,6,55,0.13,1.0,,0.9457,0.9871,6.8685,0.286
G12B,"Other Digestive System GIs, Intermediate Complexity", , ,7.2,2,22,0.14,1.24,,1.0451,0.8433,2.7317,0.2027
G12C,"Other Digestive System GIs, Minor Complexity",YES, ,3.7,1,11,0.14,1.35,0.6484,,,1.5923,0.2388
G46A,"Complex Endoscopy, Major Complexity",YES, ,6.8,2,21,0.12,1.69,0.5185,0.3496,1.0457,2.441,0.2877
G46B,"Complex Endoscopy, Minor Complexity", , ,1.1,1,3,0.3,1.98,,,,0.4508,0.3121
G47A,"Gastroscopy, Major Complexity", , ,6.0,2,18,0.11,1.57,,0.2576,0.9051,2.0678,0.2753
G47B,"Gastroscopy, Intermediate Complexity",YES, ,2.6,1,8,0.15,1.36,0.382,,,0.9266,0.2414
G47C,"Gastroscopy, Minor Complexity", , ,1.1,1,3,0.26,1.55,,,,0.3198,0.2495
G48A,"Colonoscopy, Major Complexity",YES, ,5.9,1,18,0.13,1.66,0.3885,,,1.8224,0.2616
G48B,"Colonoscopy, Minor Complexity", , ,1.1,1,3,0.34,1.99,,,,0.3854,0.1451
G60A,"Digestive Malignancy, Major Complexity", , ,6.9,2,21,0.08,1.0,,0.0,1.013,2.0261,0.2333
G60B,"Digestive Malignancy, Minor Complexity",YES, ,2.9,1,9,0.11,1.0,0.2648,,,0.6965,0.2253
G61A,"Gastrointestinal Haemorrhage, Major Complexity", , ,4.2,1,13,0.12,1.17,,,,1.039,0.2406
G61B,"Gastrointestinal Haemorrhage, Minor Complexity", , ,1.7,1,5,0.13,1.28,,,,0.3615,0.2454
G64Z,Inflammatory Bowel Disease,YES, ,3.7,1,11,0.1,1.1,0.2027,,,0.8894,0.2494
G65A,"Gastrointestinal Obstruction, Major Complexity", , ,5.7,1,17,0.1,1.16,,,,1.4841,0.2561
G65B,"Gastrointestinal Obstruction, Minor Complexity", , ,2.5,1,8,0.13,0.94,,,,0.6168,0.2276
G66A,"Abdominal Pain and Mesenteric Adenitis, Major Complexity",YES, ,2.6,1,8,0.14,1.0,0.1275,,,0.6334,0.2381
G66B,"Abdominal Pain and Mesenteric Adenitis, Minor Complexity", , ,1.2,1,4,0.19,1.34,,,,0.2048,0.157
G67A,"Oesophagitis and Gastroenteritis, Major Complexity", , ,3.2,1,9,0.1,1.09,,,,0.7822,0.2577
G67B,"Oesophagitis and Gastroenteritis, Minor Complexity", , ,1.3,1,4,0.14,1.22,,,,0.2304,0.1724
G70A,"Other Digestive System Disorders, Major Complexity", , ,5.6,1,17,0.1,1.5,,,,1.398,0.2536
G70B,"Other Digestive System Disorders, Intermediate Complexity",YES, ,3.0,1,9,0.11,1.75,0.1727,,,0.7362,0.2261
G70C,"Other Digestive System Disorders, Minor Complexity", , ,1.4,1,4,0.14,1.54,,,,0.2563,0.1893
H01A,"Pancreas, Liver and Shunt Interventions, Major Complexity", , ,23.4,7,70,0.13,1.0,,3.3502,1.2153,11.8571,0.2661
H01B,"Pancreas, Liver and Shunt Interventions, Intermediate Complexity", , ,9.2,3,28,0.16,1.0,,1.1816,1.6139,6.0234,0.3231
H01C,"Pancreas, Liver and Shunt Interventions, Minor Complexity", , ,3.7,1,11,0.2,1.0,,,,2.4623,0.4902
H02A,"Major Biliary Tract Interventions, Major Complexity", , ,20.5,6,62,0.12,1.0,,1.5273,1.1852,8.6384,0.2625
H02B,"Major Biliary Tract Interventions, Intermediate Complexity", , ,11.2,3,34,0.15,1.0,,1.07,1.2515,4.8246,0.267
H02C,"Major Biliary Tract Interventions, Minor Complexity", , ,4.9,1,15,0.2,1.0,,,,2.1901,0.3186
H05A,"Hepatobiliary Diagnostic Interventions, Major Complexity", , ,11.2,3,34,0.18,1.0,,0.7708,1.3773,4.9028,0.286
H05B,"Hepatobiliary Diagnostic Interventions, Intermediate Complexity", , ,4.6,1,14,0.18,1.0,,,,2.0919,0.292
H05C,"Hepatobiliary Diagnostic Interventions, Minor Complexity", , ,1.6,1,5,0.24,1.0,,,,0.7466,0.3297
H06A,"Other Hepatobiliary and Pancreas GIs, Major Complexity", , ,18.2,6,54,0.13,1.0,,0.6343,1.0543,6.96,0.2725
H06B,"Other Hepatobiliary and Pancreas GIs, Intermediate Complexity", , ,8.6,2,26,0.15,1.0,,0.4066,1.2842,2.9751,0.2093
H06C,"Other Hepatobiliary and Pancreas GIs, Minor Complexity", , ,1.6,1,5,0.36,1.0,,,,1.3894,0.2684
H07A,"Open Cholecystectomy, Major Complexity", , ,12.4,4,37,0.13,1.0,,1.6138,1.0871,5.9622,0.2938
H07B,"Open Cholecystectomy, Intermediate Complexity", , ,6.6,2,20,0.13,1.0,,1.1968,1.233,3.6628,0.2687
H07C,"Open Cholecystectomy, Minor Complexity", , ,4.2,1,13,0.1,1.0,,,,2.5169,0.3135
H08A,"Laparoscopic Cholecystectomy, Major Complexity", , ,5.9,1,18,0.15,1.0,,,,2.9333,0.294
H08B,"Laparoscopic Cholecystectomy, Minor Complexity", , ,2.1,1,6,0.17,1.25,,,,1.5891,0.2901
H09Z,Liver Transplant, , ,21.0,6,63,0.16,1.45,,4.9257,3.0481,23.2144,0.5378
H60A,"Cirrhosis and Alcoholic Hepatitis, Major Complexity", , ,13.9,4,42,0.1,1.0,,0.0,1.1439,4.5757,0.267
H60B,"Cirrhosis and Alcoholic Hepatitis, Intermediate Complexity", , ,6.5,2,19,0.1,1.0,,0.0,0.9772,1.9544,0.2555
H60C,"Cirrhosis and Alcoholic Hepatitis, Minor Complexity",YES, ,3.4,1,10,0.16,1.0,0.2437,,,0.9119,0.2267
H61A,"Malignancy of Hepatobiliary System and Pancreas, Major Complexity", , ,8.6,2,26,0.13,1.0,,0.1202,1.2399,2.5999,0.2541
H61B,"Malignancy of Hepatobiliary System and Pancreas, Minor Complexity",YES, ,3.9,1,12,0.16,1.49,0.362,,,1.0445,0.2329
H62A,"Disorders of Pancreas, Except Malignancy, Major Complexity", , ,7.1,2,21,0.12,2.0,,0.0,1.0679,2.1359,0.2862
H62B,"Disorders of Pancreas, Except Malignancy, Minor Complexity",YES, ,3.0,1,9,0.14,1.59,0.2552,,,0.7684,0.2395
H63A,"Other Disorders of Liver, Major Complexity", , ,6.9,2,21,0.13,1.38,,0.0,1.0615,2.123,0.2584
H63B,"Other Disorders of Liver, Intermediate Complexity",YES, ,3.5,1,10,0.17,1.46,0.2977,,,0.9071,0.2108
H63C,"Other Disorders of Liver, Minor Complexity", , ,1.2,1,4,0.2,1.54,,,,0.3339,0.2626
H64A,"Disorders of the Biliary Tract, Major Complexity", , ,5.9,1,18,0.14,1.28,,,,1.7661,0.2754
H64B,"Disorders of the Biliary Tract, Minor Complexity",YES, ,2.8,1,8,0.19,1.75,0.2609,,,0.7809,0.2434
H65A,"Bleeding Oesophageal Varices, Major Complexity", , ,9.0,3,27,0.11,1.0,,0.2876,1.2017,3.8928,0.3353
H65B,"Bleeding Oesophageal Varices, Intermediate Complexity", , ,4.5,1,13,0.12,1.0,,,,1.8306,0.2973
H65C,"Bleeding Oesophageal Varices, Minor Complexity", , ,2.8,1,8,0.1,1.0,,,,1.1056,0.3425
I01A,"Bilateral and Multiple Major Joint Interventions of Lower Limb, Major Complexity", , ,24.0,16,36,0.24,1.0,,3.4094,0.5794,12.6802,0.2772
I01B,"Bilateral and Multiple Major Joint Interventions of Lower Limb, Minor Complexity", , ,5.7,1,17,0.24,1.0,,,,5.9879,0.2514
I02A,"Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Major Complexity", , ,33.6,22,50,0.13,1.0,,4.3344,0.5734,16.9491,0.3336
I02B,"Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Intermediate Comp", , ,21.2,7,64,0.13,1.0,,2.3397,1.1302,10.2514,0.2692
I02C,"Microvascular Tissue Transfers or Skin Grafts, Excluding Hand, Minor Complexity", , ,7.6,2,23,0.15,1.0,,0.5273,1.997,4.5214,0.3276
I03A,"Hip Replacement for Trauma, Major Complexity", , ,13.0,4,39,0.23,1.0,,1.9825,1.0033,5.9958,0.2745
I03B,"Hip Replacement for Trauma, Minor Complexity", , ,7.3,2,22,0.31,1.0,,1.8768,1.0568,3.9903,0.2389
I04A,"Knee Replacement, Major Complexity", , ,7.0,2,21,0.29,1.0,,2.3248,1.0784,4.4815,0.2491
I04B,"Knee Replacement, Minor Complexity", , ,4.2,1,13,0.45,1.0,,,,3.5977,0.2199
I05A,"Other Joint Replacement, Major Complexity", , ,7.5,2,23,0.43,1.0,,2.6138,1.3939,5.4016,0.2611
I05B,"Other Joint Replacement, Minor Complexity", , ,2.8,1,8,0.41,1.0,,,,3.7556,0.2884
I06Z,Spinal Fusion for Deformity, , ,7.1,2,26,0.4,1.0,,4.7208,3.2119,11.1446,0.498
I07Z,Amputation, , ,19.6,8,73,0.07,1.0,,0.9685,0.9192,8.3221,0.2913
I08A,"Other Hip and Femur Interventions, Major Complexity", , ,15.1,5,45,0.15,1.0,,1.6406,0.9719,6.4999,0.2649
I08B,"Other Hip and Femur Interventions, Intermediate Complexity", , ,8.9,2,27,0.2,1.0,,1.0764,1.4742,4.0247,0.2404
I08C,"Other Hip and Femur Interventions, Minor Complexity", , ,5.8,1,17,0.23,1.0,,,,2.8027,0.2517
I09A,"Spinal Fusion, Major Complexity", , ,18.6,6,56,0.17,1.0,,4.5468,1.199,11.7405,0.3122
I09B,"Spinal Fusion, Intermediate Complexity", , ,7.9,2,24,0.39,1.0,,2.9861,1.8296,6.6452,0.3142
I09C,"Spinal Fusion, Minor Complexity", , ,4.1,1,12,0.33,1.0,,,,4.6309,0.3355
I10A,"Other Back and Neck Interventions, Major Complexity", , ,8.9,2,27,0.19,1.0,,1.3182,1.6617,4.6417,0.3002
I10B,"Other Back and Neck Interventions, Minor Complexity", , ,2.9,1,9,0.22,1.0,,,,2.2401,0.2653
I11Z,Limb Lengthening Interventions, , ,4.3,1,13,0.23,1.9,,,,3.6203,0.3764
I12A,"Misc Musculoskeletal Interventions for Infect/Inflam of Bone/Joint, Major Comp", , ,22.7,7,68,0.11,1.15,,0.7187,0.9758,7.5492,0.2367
I12B,"Misc Musculoskeletal Interventions for Infect/Inflam of Bone/Joint, Interm Comp", , ,14.1,4,42,0.09,1.0,,0.6369,0.9666,4.5032,0.177
I12C,"Misc Musculoskeletal Interventions for Infect/Inflam of Bone/Joint, Minor Comp", , ,5.7,1,17,0.09,1.3,,,,1.8613,0.1871
I13A,"Humerus, Tibia, Fibula and Ankle Interventions, Major Complexity", , ,10.8,3,32,0.19,0.93,,1.3595,1.2287,5.0456,0.2764
I13B,"Humerus, Tibia, Fibula and Ankle Interventions, Intermediate Complexity", , ,4.8,1,15,0.23,0.95,,,,2.7422,0.2903
I13C,"Humerus, Tibia, Fibula and Ankle Interventions, Minor Complexity", , ,2.3,1,7,0.24,0.8,,,,1.7848,0.3398
I15Z,Cranio-Facial Surgery, , ,4.9,1,14,0.2,1.56,,,,3.4288,0.2757
I16Z,Other Shoulder Interventions, , ,1.3,1,4,0.24,1.0,,,,1.6346,0.4719
I17A,"Maxillo-Facial Surgery, Major Complexity", , ,3.9,1,12,0.14,1.0,,,,2.9398,0.3578
I17B,"Maxillo-Facial Surgery, Minor Complexity", , ,1.6,1,5,0.14,1.0,,,,1.6099,0.4039
I18A,"Other Knee Interventions, Major Complexity",YES, ,3.8,1,11,0.15,1.1,0.7758,,,1.7974,0.2242
I18B,"Other Knee Interventions, Minor Complexity", , ,1.1,1,3,0.3,1.67,,,,0.748,0.2286
I19A,"Other Elbow and Forearm Interventions, Major Complexity", , ,3.9,1,12,0.25,0.92,,,,2.4726,0.2963
I19B,"Other Elbow and Forearm Interventions, Minor Complexity", , ,1.5,1,5,0.33,0.92,,,,1.5142,0.3199
I20A,"Other Foot Interventions, Major Complexity", , ,5.6,1,17,0.15,1.0,,,,2.5469,0.2515
I20B,"Other Foot Interventions, Minor Complexity", , ,1.5,1,5,0.2,1.0,,,,1.2881,0.2927
I21A,"Local Excision and Removal of Internal Fixation Devices of Hip & Femur, Maj Comp", , ,3.5,1,10,0.11,0.88,,,,1.7618,0.2862
I21B,"Local Excision and Removal of Internal Fixation Devices of Hip & Femur, Min Comp", , ,1.1,1,3,0.09,1.0,,,,0.9594,0.3503
I23A,"Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Maj Comp",YES, ,2.8,1,8,0.15,1.14,0.6603,,,1.6425,0.2787
I23B,"Local Excision & Removal of Internal Fixation Device, Except Hip & Fmr, Min Comp", , ,1.0,1,3,0.16,1.06,,,,0.5859,0.1767
I24A,"Arthroscopy, Major Complexity", , ,3.8,1,11,0.21,1.0,,,,1.535,0.2478
I24B,"Arthroscopy, Minor Complexity", , ,1.0,1,3,0.2,1.0,,,,0.7061,0.2672
I25A,"Bone and Joint Diagnostic Interventions Including Biopsy, Major Complexity", , ,11.8,3,35,0.12,1.0,,0.3438,1.401,4.5468,0.2373
I25B,"Bone and Joint Diagnostic Interventions Including Biopsy, Minor Complexity",YES, ,4.3,1,13,0.21,1.31,0.5505,,,1.6591,0.2833
I27A,"Soft Tissue Interventions, Major Complexity", , ,9.9,3,30,0.12,1.0,,0.6886,1.2025,4.2961,0.2572
I27B,"Soft Tissue Interventions, Minor Complexity",YES, ,2.2,1,7,0.16,1.11,0.6104,,,1.307,0.2768
I28A,"Other Musculoskeletal Interventions, Major Complexity", , ,11.3,3,34,0.15,1.0,,0.8788,1.1702,4.3895,0.2608
I28B,"Other Musculoskeletal Interventions, Intermediate Complexity", , ,4.4,1,13,0.19,1.15,,,,2.1097,0.2411
I28C,"Other Musculoskeletal Interventions, Minor Complexity", , ,1.6,1,5,0.22,1.11,,,,1.1969,0.279
I29Z,"Knee Reconstructions, and Revisions of Reconstructions", , ,1.2,1,4,0.26,1.17,,,,1.7529,0.478
I30Z,Hand Interventions, , ,1.2,1,4,0.2,0.94,,,,0.843,0.2286
I31A,"Revision of Hip Replacement, Major Complexity", , ,21.7,7,65,0.24,1.0,,3.0357,0.9708,9.8311,0.1985
I31B,"Revision of Hip Replacement, Intermediate Complexity", , ,10.4,3,31,0.32,1.0,,2.47,1.2171,6.1213,0.2439
I31C,"Revision of Hip Replacement, Minor Complexity", , ,6.3,2,19,0.38,1.0,,2.4606,1.0492,4.5589,0.2128
I32A,"Revision of Knee Replacement, Major Complexity", , ,19.1,6,57,0.25,1.0,,3.8607,0.8045,8.6876,0.1883
I32B,"Revision of Knee Replacement, Minor Complexity", , ,7.9,2,24,0.28,1.0,,2.4425,1.4863,5.4152,0.1583
I33A,"Hip Replacement for Non-Trauma, Major Complexity", , ,7.7,2,23,0.32,1.0,,2.4883,1.2344,4.9571,0.269
I33B,"Hip Replacement for Non-Trauma, Minor Complexity", , ,3.9,1,12,0.46,1.0,,,,3.7733,0.213
I60Z,Femoral Shaft Fractures, , ,6.6,2,20,0.06,1.0,,0.2325,1.0292,2.2909,0.2598
I61Z,Distal Femoral Fractures, , ,5.8,1,17,0.07,1.1,,,,1.2838,0.2233
I63A,"Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Major Complexity", , ,4.8,1,14,0.1,1.0,,,,1.242,0.2237
I63B,"Sprains, Strains and Dislocations of Hip, Pelvis and Thigh, Minor Complexity", , ,1.5,1,4,0.12,1.11,,,,0.3179,0.2304
I64A,"Osteomyelitis, Major Complexity", , ,14.1,4,42,0.09,1.0,,0.0,0.9253,3.7012,0.1696
I64B,"Osteomyelitis, Minor Complexity", , ,6.3,2,19,0.08,1.0,,0.0,0.7464,1.4927,0.1116
I65A,"Musculoskeletal Malignant Neoplasms, Major Complexity", , ,10.4,3,31,0.08,0.93,,0.0,1.163,3.4889,0.2618
I65B,"Musculoskeletal Malignant Neoplasms, Minor Complexity", , ,4.2,1,12,0.08,1.15,,,,1.2758,0.2503
I66A,"Inflammatory Musculoskeletal Disorders, Major Complexity", , ,7.4,2,22,0.09,1.1,,0.0,1.2694,2.5389,0.2878
I66B,"Inflammatory Musculoskeletal Disorders, Minor Complexity", , ,1.3,1,4,0.11,1.66,,,,0.284,0.2002
I67A,"Septic Arthritis, Major Complexity", , ,12.0,3,36,0.09,1.0,,0.0,1.0861,3.2582,0.1555
I67B,"Septic Arthritis, Minor Complexity", , ,5.0,1,15,0.1,1.0,,,,0.8499,0.1252
I68A,"Non-surgical Spinal Disorders, Major Complexity", , ,5.6,1,17,0.1,1.0,,,,1.3837,0.238
I68B,"Non-surgical Spinal Disorders, Minor Complexity", , ,1.6,1,5,0.12,1.52,,,,0.3225,0.2273
I69A,"Bone Diseases and Arthropathies, Major Complexity", , ,5.1,1,15,0.1,0.81,,,,1.2275,0.2325
I69B,"Bone Diseases and Arthropathies, Minor Complexity", , ,1.7,1,5,0.11,1.51,,,,0.3178,0.2174
I71A,"Other Musculotendinous Disorders, Major Complexity", , ,4.5,1,13,0.1,0.89,,,,1.0346,0.2357
I71B,"Other Musculotendinous Disorders, Minor Complexity", , ,1.4,1,4,0.14,1.51,,,,0.2695,0.189
